id,POI/street
427,"nasi putra, cilan,/warung 13 16465"
428,"rt.001 013, pegangsaan/kp."
429,/dusit mangga dua hotel pt man dua
430,"/raya mayor oking jaya atm, 82 b cirimekar"
431,graha indah jl. gay/ruko kebon no b-02 rt
432,air/yaya
433,"gajah mada, gambir/flamboyan,"
434,"malang dan es kelapa, bengle/bakso majalaya"
435,/utama pasirlayung
436,jatirawasari blok/jl jati rawasari rumah susun
437,"/tosari,"
438,/wis lidah kul iv 19 b
439,/cipinang jaya iv 6 rt
440,/rawa iv 28 rt
441,"/lor tan raja, no 2029"
442,/jl. ten kar gg. ii wonokusumo semampir
443,/game 5
444,/toko no 3 rt
445,"gallery and bistro, vete, no/malioboro"
446,/outer ring road cengkareng
447,"/mamp prapatan 2, mampang prapatan kel."
448,/raya boj ren rawa
449,"manik pan/kios lebih, serongga"
450,"toko, pem,/ami bekasi barat"
451,"gebang/raya naro, tae jong"
452,/dukuh kupang nges dukuh kupang ii
453,/jaksa agung r. soepr 113 26 ilir
454,pud gang ii no/purbosuman
455,"sumardi, duren, cilacap/notaris tengah"
456,/sukatani 14 16454
457,"/danau batur 7,"
458,/nasi iii no
459,/jl. baba prat xxii y 8 8 babatan
460,/cendono
461,/mil 67
462,/puri serp 2 1-5
463,rt/genuk 5
464,"dental, pen, tegal rejo/aries"
465,/pen timur i 4
466,"teh nyai, peri/warung kalang anyar"
467,"/serdang baru vlll, no 23-39 rt 2"
468,/toko
469,/bengkel
470,impian 2 blok/buana
471,"/pr sukun, war langg semur"
472,/munjul rt 12 2 13850
473,"game cen, kuni/kirov kidul"
474,"melayu darat/hijas, 6"
475,/madr no 33
476,"/bank tjokroa, no 170 pasirkaliki"
477,/raya batujajar selacau kel.
478,"/tmp trik, no 67 mandala"
479,/gg. 1 no 45 kebon
480,"segar muara buah bendu/buah wates,"
481,ahmad yani no/hard 13 57558
482,bar/masjid
483,"shoes, bhayan tugu no/tugu koja"
484,/gg. wari 21 pulo brayan darat
485,bint/toko
486,/ganting 25142
487,/perum langensari indah
488,"/danau laut tawar, tanah"
489,"muraya banda aceh, t pang polem,/kryad laksana"
490,"rw. 02 001./jl. mas raya, komplek bumi persada"
491,"gift, bota gar/welo'v"
492,"amanah, pekayon jaya/haji makri no 20"
493,/pin 6
494,motor & karpet iswahyudi/cuci tulungagung
495,jahit benn merak/rumah banjarsari
496,"merah,/soek hatta, resto"
497,/cluster grandwood residence kp berkat jl. raya
498,/inspektorat
499,"sekar tama, soek/kos no 70 kendal"
500,/pabu 14 lengkong
501,/sukarindik 33 46151 bungursari
502,"organic/adi suci, 11"
503,"salon musl/sofia lapan,"
504,/setia budi tanjung
505,/sumolawang 4 rw 1
506,/tanj sa'ar 95 jatiluhur jatiasih
507,"/palebon iv, no 17 rw"
508,bayur sarana indah 2 rt/perumahan
509,"cempaka/danau, no 89"
510,florist pang besar sudi/ebe mangun dikaran
511,/jati raya 2 rt
512,/bog ra kramat
513,"/griya kenc, rajabasa rajabasa"
514,"/jojo 3,"
515,"lucky plaza, komp/batam nag, lubuk baja"
516,/pemb iv no
517,park waterboom indrapura/dogi
518,"computer kus/fk ban, tambaksari"
519,"kartika pratama rata yudha,/primkop tanah tin barat, senen"
520,"mitra usaha, teuku umar,/ud."
521,/kalierang bumiayu
522,"jeng, wol mon,/war pengajaran"
523,"/tambakaji raya, 54 ngaliyan"
524,/raya sokka 69 pejagoan
525,/pajaj 26 paminggir
526,/sd
527,"/danarch, cilangkap tapos"
528,"/pend, trirenggo kel."
529,"cabalu, paenrelompoe,/btn"
530,/kartini iv dalam 25
531,/mts
532,/jatibening rt 2 3
533,impian 2 blok/buana
534,/kwet 1 lubuk
535,/hayam wuruk 36
536,ug blok b5 no 1/win-e
537,"aji bayu .pt pelayaran teluk bet,/pusaka"
538,"rakyat indon,/bank bangkaloa ilir"
539,"/maulana hasan, poris gaga"
540,"raya semi, 468/seminyak"
541,galatama nr alamat : harapan/pemancingan
542,/brawi 28 tunggalpager
543,/sudimara ciledug
544,/jl cisangkuy 66(depan taman lansia)
545,suropati pos polisi/taman
546,/jl. lan 2 rt
547,/catur tung 80
548,"/mel, 27 delod"
549,"e1 11/toddopuli , puri taman sari"
550,/sd wac 41a
551,/bel i rt
552,/parang 80 90224 tamalate
553,serua indah/jln. suka damai 15 villa
554,"dusun jl. cikon jl,/cipacing"
555,"tour, tri,/orig"
556,/gubeng 2 60281 gubeng
557,/toi
558,/sawo 41 bitera
559,/angg dalam grendeng
560,"fresh denpasar, padma,/moena"
561,pray/toko
562,/tang turi simomulyo
563,/pringu cepi bululawang
564,/mer pondok
565,"/pangeran muha, musholla al-ikhwan,"
566,/yos suda wringin agung
567,"dalam, no/jagasatru pekalipan"
568,"/darm, pahandut"
569,/jl. boule raya grand kalibaru cilodong
570,"/jamba, jambangan kel."
571,"niaga cargo h o/sarana s cokr,"
572,/bukit indah 1 serua
573,"/gg. dah, morokrembangan krembangan"
574,/hos. cokr no 3 mas
575,/utan panj iii 54
576,"trip utama pt, gur/bali"
577,/pram no
578,purw/cv.
579,/kundur barat
580,/d plawad indah
581,/muti depok
582,/gajah no ii
583,"pkp, no 95 8/selasar"
584,tale/toko
585,/jagakarsa 1
586,/paku paku jaya serpong
587,negeri banjar banjaretno kajoran/sd
588,/jl.li timur bukit agung kerinci kanan
589,/jela madya utara grogol petamburan
590,"motor, bung/md kopang rembiga"
591,"/jalan haji ah wasi, pondok petir kel."
592,"pesona purbasari pt, haji ism,/dina lama"
593,/dhar ix no
594,/rad sal gg. h ar 72 karang tengah
595,/tukad bar i 20 panjer
596,/kalibata no 5
597,"/gg. setia, rapak dalam loa"
598,/cipu raya 290 rt
599,"/h. sai, no 32c palmerah"
600,/raja xi 9
601,"legenda,/soek hatta, pos"
602,/raya kanda gun 100 kandangan
603,"/gg. pel 6, johar baru"
604,/lumbu barat raya 13 rawalumbu
605,/sul ageng tirta kunciran
606,/kujangsari bandung
607,/kedung 1 bojonggede
608,"/sutir raya, 50 rt 4"
609,/gg. madr 1 rawajati rt 7
610,/cele 1 no 16
611,"duta tek, margapadang/cv."
612,"/2 faq usm, 1 30122 seberang ulu i"
613,/sei
614,/ahmad yani 191
615,"/dewi sart, 8 kuta"
616,"ayani, ahmad yani,/steam"
617,"sego tabok krian sidoarjo jatim, jl jati v,/depot"
618,"surf & stay, pan batu/sunny"
619,"/kpp sumoharjo km.4, gedung keuangan negara i,"
620,/pop no 168
621,"an nurma, topaz raya,/pt"
622,"kel., lin timur, tulungpasik/tulungpasik"
623,kaca ks glass/toko
624,wayan prop seminung/pais
625,"/sib dalam 1, 93"
626,/kara wadas 30 cikarang
627,/raya solo - yogyak 45 belang
628,"bank bukopin, adi suma,/atm"
629,/rawa gg. angs kampung rawa johar
630,"cafe mawar, panji/najah tenggarong"
631,"raya/toko, leuwigoong"
632,"swasta al muhaj,/ma"
633,"bumi asri cihanjuang,/perumahan"
634,/sumpang
635,"/pan kil, leitimur"
636,ayam dan mend/mie
637,/kenc resid no
638,"medika, raya mauk/kli jati"
639,/sewa no 37
640,/kemanggisan rt 3
641,/lamt no 55
642,/simp manak pagar alam
643,bang safira ujung batu/toko
644,"children foundation, raya/bali kuta utara"
645,/lebak no 33
646,/pondok nam 20
647,/gun singga 17855 cikarang
648,/kapuk 56-67 rt
649,"teknik indonesia. cv,/sentra"
650,/joko ting pondoksari
651,/karet 18-2 rt
652,"/gang tela, no 20"
653,/de
654,/bpr
655,/mamajang 90132
656,/bat ku med 86
657,/amp iv dalam pademangan
658,"/cassa, sulaiman margahayu"
659,"/suka stas, no 11 deli"
660,/mangunsari no 61
661,gianyar/payas
662,/kelurahan
663,/gg. rah simpang empat kertak
664,/gg. rez no 30 padang
665,/gg. kera helvetia tengah medan
666,/pad mekar no
667,"/cipinang utara ii, 17 rt 6"
668,kencana 2 blok b3 no14/alinda
669,/gun pap rambutan
670,/jl. kahur 4 001 006 sumber
671,/bungur dalam 202 rt
672,"darul abror, giri mulyo/tpa"
673,"/toi perta, dempet"
674,wahana cikarang/perumahan
675,/banyoneng
676,jengkol rt 02/alamat
677,"/danau elok 9,"
678,"/siwalankerto brawi, 14 rt 0"
679,/samudera rah 122 rw
680,/klaten 214
681,"/angs iv, duri"
682,/kepundung no 34 dangin
683,"/jalan raya banja, no 57 banjarejo"
684,"/lawang, no 25"
685,"rege,/lotus baru sela, no 2 5 ketintang gayungan"
686,"aquarium, cina, ujung berung/cinangka"
687,/pejagalan 2 14 rt 1
688,/pt. arai rubber seal indonesia jl. manis ii no.
689,/tebet
690,"manunggal, lima kaum/dusun"
691,/nagrak 40238
692,/raya batu 50
693,/kagungan 14 42114
694,"/cangu, sukawening sukawening"
695,/gedog 143-147 sanan wetan
696,"pentacity, jend sudi, 76114/gunung"
697,/ked anyar buntu vii sawahan
698,"toko, k/kampung fakhr, 18 5 10250"
699,/drawati paseh
700,"betel pintu besar, pintukota/gmim"
701,"/setro baru ix, 93 rw 4"
702,kebun raya rejowinangun kotagede/kope
703,liliana way serdang/toko
704,"/mel indah 3, kapuk"
705,"/raya paha - ngab, pahauman"
706,"/cibu, 3 rw"
707,/grand resid boule
708,"beauty salon, jend sudi,/lenny"
709,"the bay/jl. aria putra, paradise resort"
710,"kelontong bobo, no/toko 45 purwokerto"
711,"/tura barat dalam ii, turangga lengkong"
712,"/papa iii, papanggo"
713,/sabu baru iv 20
714,/nusa indah no
715,/cireundeu 4 6
716,/wijaya tuba angke rt 4
717,"/dew, nusa jaya"
718,"sound grosir cen, perto/lighting"
719,"/sukamulya lapan, rt 2 4 16350"
720,"/batra eyang gentar,"
721,/75571
722,/gemb sawah iii kapasan
723,"/kend kol, 47 anggopiu"
724,/arj 175
725,"/merah del v, tambun"
726,savia blok f2/the banten putih
727,/jaya 5
728,"wergu wetan/gor wergo wetan, 86 bengkel las pendy"
729,/wtf 19 perumnas way
730,mulya rt/kp
731,pon/belia
732,/swad pabu kulon 19 gunung putri
733,/komp sek. neg cido 6 cipulir rt
734,"kawi,/visa, klojen"
735,blok a14/kedoya
736,/wig ten xi gunung
737,"/rawa sela 3,"
738,/datuk kabu hutan
739,"bubunan/raya pupuan-seririt, no 26 sd negeri 2 bubunan,"
740,/sukasari rt 1
741,"diesel pang/super hida, samarinda kota"
742,"/taw mangu, 9 pancaran kasih"
743,"sarilamak/raya payak, koperasi sutra"
744,/prima x
745,/gg. jat 86 tonja denpasar
746,"may,/toko abidin, belakang pondok"
747,/t orc bint 75 pondok
748,/sukomanunggal sukomanunggal
749,/raya mustik 55 mustikasari
750,"trans kal,/alfamart,"
751,/kebun man i 11
752,/dip 57
753,kdm jl. rawa/yayasan dolar no.29 rt 1
754,/ulak padang
755,/sumber cik diti gg. mel 3 no 18 35151
756,"raya bandu/sanawi,"
757,"i,/smks"
758,"hidayah, raya cika pam/mes"
759,"ped,/mari timur iv, no 23 rw"
760,pramuka jl./gedung pahlawan no. 8
761,"gigi dental edy kosim, pisangan baru sela matraman/ahli"
762,"/cend 1, 46"
763,"/kena raya, no 33"
764,sekolah daarul/apartemen
765,/labuh 5 rt 1 payakumbuh barat
766,"/gang srikandi, tahunan kel."
767,"/nan, ciputat"
768,/raya jek pant rez
769,"/margaluyu,"
770,/karya jaya gedung
771,"tour dan travel, pen,/jawa sari rungkut"
772,"/padat karya, lamaru"
773,"vocal group, rt/harm 13"
774,/pro abadijaya
775,"mojo, no 4/sukoanyar"
776,"asosiasi hutan/gul, no"
777,narm/toko
778,/jatimulya 139 rt 1 10
779,/pt.
780,"bri, perumahan/atm perm city, karangbahagia"
781,/sidotopo 41b rt 8
782,/rawa cito 41 jatimelati
783,tidar magelang kios d.8 magelang/terminal
784,"sablon, bantargebang/desa boj kulur 1 jaya"
785,surau/batu
786,"cake, raya ulu gadut,/laksmi pauh"
787,/desa leuwi panyingkiran
788,/85
789,barat/cemp raya no
790,caringin/cima 16 kp.nangoh
791,/mel raya melong
792,"murod spog k wulu, tegal/dokter sari"
793,"cibinong, jl. padurenan no. blok,/stasiun pabuaran, cibinong, bogor"
794,"collection,/sabila"
795,/gg. siaga 1 dalam bugis pontianak
796,"collection,/metta"
797,/mi
798,"indon,/pos talun"
799,/macc ra 202 rw
800,cendana indah lorong 2/dusun
801,kunciran/ruko jalur sutra no 19a
802,"shop, pada/kayla 2 x 11 enam"
803,/jl. h. saa koang jaya karawaci
804,/mang dalam vi
805,"/cend btn kar asem,"
806,"/komp zeni menz, pasar rebo"
807,/mas
808,"permata harmoni, blok/perumahan cengkong ."
809,"indu/pln,"
810,"/komp hksn per, alalak utara kel."
811,"residence blok g no.22,/pulomas"
812,/pemogan dadi 27 denpasar selatan
813,/dongk rt 3
814,griya sinta lt. 5/gedung - kantor pt fajar
815,"/gar raya, kunciran"
816,"/emer citra vi, e28 pondok aren"
817,"/flamb, no 22b rw"
818,/beng
819,"kos ibu far,/smart map"
820,/kar anyar karang anyar
821,"/lin suma, 20138 taruang"
822,"baba/paras loa, pasirkaliki cimahi"
823,/bunder heu 35 rt 13 4
824,"/bumi citeu asri, citeureup"
825,"martinah buah batu,/nota"
826,/pemecutan 16 denpasar barat
827,"family, air/idola"
828,/peri kem 70-71
829,spring regency blok c/palm
830,/ipda tut hars baciro kel.
831,"chic,/dewa pakualaman"
832,/cikamin
833,/bp-p sari
834,"/sawo kecik 3, tebet"
835,/cempaka put ten xxv 21 rt
836,/kayu gede 1 74
837,"anya, desa seng,/toko sengeti"
838,laun ambartawang/fania
839,"yoto, pac kuda,/bu petemon sawahan"
840,/flamb 1 pondok benda
841,"/balich, rempoa ciputat timur"
842,"/sut jelita 2, no 59"
843,/jakasampurna bekasi barat
844,/pucangsawit jebres
845,no. 144 bali/jl. gajahmada ruko murni blok k
846,"marpoyan damai/paus, no 82"
847,/cibuntu cibitung
848,/simpangan 188 17530 cikarang
849,kebon kopi rt02/kp
850,"emas putih nur syai'in,/toko"
851,"/jl. raya duri, tenayan raya"
852,"/ani, saleh, darul imarah"
853,/kemb kun kulon 15
854,belawan kota/ujung sum
855,/duri
856,"/sek, gent besar,"
857,"/kendeng vi, 26 rw"
858,/jend sudir gang damai 46 ciperna
859,"/mojo iii, no 23a"
860,/perum puri kosa 2 duren klari
861,/pondok lima raya 1
862,"/swad pos, pulo gebang"
863,"/gar, 999 batujaya"
864,"/serd ba 1, g 24 5"
865,/kelapa biru no
866,karya agung blok/pondok
867,"jati, kolo sugi,/indah"
868,/raya keb 161
869,/guk (ampera batu
